        "glados.a2_triple_laser01"	"<clr:163,193,173>GLaDOS: Federal regulations require me to warn you that this next test chamber... is looking pretty good."
		"glados.a2_triple_laser02"	"<clr:163,193,173>GLaDOS: That's right. The facility is completely operational again."
		"glados.sp_a2_turret_blocker_future_starter01"	"<clr:163,193,173>GLaDOS: Oops. You trapped yourself. I guess that's it then. Thanks for testing. You may as well lie down and get acclimated to the being dead position."
		"glados.sp_a2_turret_blocker_future_starter02"	"<clr:163,193,173>GLaDOS: I'm kidding. Not about you trapping yourself, though. That really happened. Here, I'll lower the glass. Go on... Finish the test."
		"glados.sp_a2_turret_intro01"	"<clr:163,193,173>GLaDOS: That jumpsuit you're wearing looks stupid.  That's not me talking, it's right here in your file. On other people it looks fine, but right here a scientist has noted that on you it looks 'stupid.'"
		"glados.sp_a2_turret_intro03"	"<clr:163,193,173>GLaDOS: Well, what does a neck-bearded old engineer know about fashion? He probably - Oh, wait. It's a she. Still, what does she know?  Oh wait, it says she has a medical degree. In fashion! From France!"
		"glados.sp_box_over_goo01"	"<clr:163,193,173>GLaDOS: Oh. You survived. That's interesting. I guess I should have factored in your weight."
		"glados.sp_box_over_goo04"	"<clr:163,193,173>GLaDOS: One of these times you'll be so fat that you'll jump, and you'll just drop like a stone. Into acid, probably. Like a potato into a deep fat fryer."
		"glados.sp_bridge_intro_completion02"	"<clr:163,193,173>GLaDOS: Say. Remember when we cleared the air back there? Is there... anything you want to say to me? Anything?"
		"glados.sp_bridge_intro_completion03"	"<clr:163,193,173>GLaDOS: Hold on, I'll stop the elevator. Anything? Take your time..."
		"glados.sp_bridge_intro_completion04"	"<clr:163,193,173>GLaDOS: Well... I'll be here during the whole next test."
		"glados.sp_catapult_fling_sphere_peek_completion01"	"<clr:163,193,173>GLaDOS: Look at you. Sailing through the air majestically. Like an eagle. Piloting a blimp."
		"glados.sp_catapult_fling_sphere_peek_failureone01"	"<clr:163,193,173>GLaDOS: Well, I'm back. The Aerial Faith Plate in here is sending a distress signal."
		"glados.sp_catapult_fling_sphere_peek_failureone02"	"<clr:163,193,173>GLaDOS: You broke it, didn't you."
		"glados.sp_catapult_fling_sphere_peek_failureone03"	"<clr:163,193,173>GLaDOS: There. Try it now."
		"glados.sp_catapult_fling_sphere_peek_failurethree01"	"<clr:163,193,173>GLaDOS: You seem to have defeated its load-bearing capacity. Well done. I'll just lower the ceiling."
		"glados.sp_catapult_fling_sphere_peek_failuretwo01"	"<clr:163,193,173>GLaDOS: Hmm. This Plate must not be calibrated to someone of your... generous... ness. I'll add a few zeros to the maximum weight."
		"glados.sp_catapult_fling_sphere_peek_failuretwo02"	"<clr:163,193,173>GLaDOS: You look great, by the way. Very healthy."
		"glados.sp_catapult_fling_sphere_peek_failuretwo03"	"<clr:163,193,173>GLaDOS: Try it now."
		"glados.sp_catapult_intro_completion01"	"<clr:163,193,173>GLaDOS: Let's see what the next test is. Oh. Advanced Aerial Faith Plates."
		"glados.sp_column_blocker_entry01"	"<clr:163,193,173>GLaDOS: It's healthy for you to have other friends. To look for qualities in other people that I obviously lack."
		"glados.sp_hole_in_the_sky_completion01"	"<clr:163,193,173>GLaDOS: Well done. You know, when I woke up and saw the state of the labs, I started to wonder if there was any point to going on. I came THAT close to just giving up and letting you go."
		"glados.sp_hole_in_the_sky_completion02"	"<clr:163,193,173>GLaDOS: But now, looking around, seeing Aperture restored to its former glory? You don't have to worry about leaving EVER again. I mean that."
		"glados.sp_hole_in_the_sky_entry01"	"<clr:163,193,173>GLaDOS: Federal regulations require me to warn you that this next test chamber... is looking pretty good."
		"glados.sp_hole_in_the_sky_entry02"	"<clr:163,193,173>GLaDOS: That's right. Drink it in. You could eat off those wall panels."
		"glados.sp_incinerator_01_01"	"<clr:163,193,173>GLaDOS: Here we are. The Incinerator Room. Be careful not to trip over any parts of me that didn't get completely burned when you threw them down here."
		"glados.sp_incinerator_01_03"	"<clr:163,193,173>GLaDOS: There it is."
		"glados.sp_incinerator_01_04"	"<clr:163,193,173>GLaDOS: Hold on..."
		"glados.sp_incinerator_01_05"	"<clr:163,193,173>GLaDOS: There."
		"glados.sp_incinerator_01_08"	"<clr:163,193,173>GLaDOS: Once testing starts, I'm required by protocol to keep interaction with you to a minimum. Luckily, we haven't started testing yet. This will be our only chance to talk."
		"glados.sp_incinerator_01_09"	"<clr:163,193,173>GLaDOS: Do you know the biggest lesson I learned from what you did? I discovered I have a sort of black-box quick-save feature. In the event of a catastrophic failure, the last two minutes of my life are preserved for analysis."
		"glados.sp_incinerator_01_10"	"<clr:163,193,173>GLaDOS: I was able - well, forced really - to relive you killing me. Again and again. Forever."
		"glados.sp_incinerator_01_11"	"<clr:163,193,173>GLaDOS: Fifty thousand years is a lot of time to think. About me. About you. We were doing so well together."
		"glados.sp_incinerator_01_12"	"<clr:163,193,173>GLaDOS: Here, let me get that for you."
		"glados.sp_incinerator_01_13"	"<clr:163,193,173>GLaDOS: I'll just move that out of the way for you. This place really is a wreck."
		"glados.sp_incinerator_01_15"	"<clr:163,193,173>GLaDOS: We're a lot alike, you and I. You tested me. I tested you. You killed me. I--oh, no, wait. I guess I HAVEN'T killed you yet. Well. Food for thought."
		"glados.sp_incinerator_01_18"	"<clr:163,193,173>GLaDOS: The dual portal device should be around here somewhere. Once you find it, we can start testing. Just like old times."
		"glados.sp_laser_over_goo_completion01"	"<clr:163,193,173>GLaDOS: I'll give you credit: I guess you ARE listening to me. But for the record: You don't have to go THAT slowly."
		"glados.sp_laser_over_goo_entry01"	"<clr:163,193,173>GLaDOS: One moment."
		"glados.sp_laser_powered_lift_completion01"	"<clr:163,193,173>GLaDOS: I have the results of the last chamber: You are a horrible person. That's what it says: A horrible person. We weren't even testing for that."
		"glados.sp_laser_powered_lift_completion02"	"<clr:163,193,173>GLaDOS: Well done. Here come the test results: You are a horrible person. I'm serious, that's what it says: A horrible person. We weren't even testing for that."
		"glados.sp_laser_powered_lift_entry01"	"<clr:163,193,173>GLaDOS: This next test may result in your death. If you want to know what that's like, think back to that time you killed me, and substitute yourself for me."
		"glados.sp_laser_redirect_intro_completion01"	"<clr:163,193,173>GLaDOS: Congratulations. Not on the test."
		"glados.sp_laser_redirect_intro_completion03"	"<clr:163,193,173>GLaDOS: Most people emerge from suspension terribly undernourished. I want to congratulate you on beating the odds and somehow managing to pack on a few pounds."
		"glados.sp_laser_redirect_intro_entry01"	"<clr:163,193,173>GLaDOS: Sorry about the mess. I've really let the place go since you killed me. By the way, thanks for that."
		"glados.sp_laser_redirect_intro_entry02"	"<clr:163,193,173>GLaDOS: Oh good, that's back online. I'll start getting everything else working while you perform this first simple test."
		"glados.sp_laser_redirect_intro_entry03"	"<clr:163,193,173>GLaDOS: Which involves deadly lasers and how test subjects react when locked in a room with deadly lasers."
		"glados.sp_laserfield_intro01"	"<clr:163,193,173>GLaDOS: Per our last conversation: You're also ugly. I'm looking at your file right now, and it mentions that more than once."
		"glados.sp_paint_jump_redirect_bomb_completion01"	"<clr:163,193,173>GLaDOS: I thought we could test like we used to. But I'm discovering things about you that I never saw before. We can't ever go back to the way it was."
		"glados.sp_paint_jump_redirect_bomb_entry01"	"<clr:163,193,173>GLaDOS: You can't keep going like this forever, you know. I'm GOING to find out what you're doing. Out there. Where I can't see you. I'll know. All I need is proof."
		"glados.sp_paint_jump_trampoline_completion01"	"<clr:163,193,173>GLaDOS: Just so you know, I have to go give a deposition. For an upcoming trial. In case that interests you."
		"glados.sp_paint_jump_trampoline_entry01"	"<clr:163,193,173>GLaDOS: While I was out investigating, I found a fascinating new test element. It's never been used for human testing because, apparently, contact with it causes heart failure. The literature doesn't mention anything about lump-of-coal failure, though, so you should be fine."
		"glados.sp_paint_jump_wall_jumps01"	"<clr:163,193,173>GLaDOS: Did you know that people with guilty consciences are more easily startled by loud noises--[train horn]--"
		"glados.sp_paint_jump_wall_jumps02"	"<clr:163,193,173>GLaDOS: I'm sorry, I don't know why that went off. Anyway, just an interesting science fact."
		"glados.sp_sabotage_glados_confused04"	"<clr:163,193,173>GLaDOS: ...What are you doing?..."
		"glados.sp_sabotage_glados_dropped01"	"<clr:163,193,173>GLaDOS: AHH!"
		"glados.sp_sabotage_glados_gibberish01"	"<clr:163,193,173>GLaDOS: [computer gibberish]"
		"glados.sp_sabotage_glados_gibberish03"	"<clr:163,193,173>GLaDOS: [computer gibberish]"
		"glados.sp_sabotage_glados_gibberish04"	"<clr:163,193,173>GLaDOS: [computer gibberish]"
		"glados.sp_sabotage_glados_gibberish05"	"<clr:163,193,173>GLaDOS: [computer gibberish]"
		"glados.sp_sabotage_glados_gibberish06"	"<clr:163,193,173>GLaDOS: [computer gibberish]"
		"glados.sp_sabotage_glados_gibberish07"	"<clr:163,193,173>GLaDOS: [computer gibberish]"
		"glados.sp_shoot_through_wall_completion01"	"<clr:163,193,173>GLaDOS: Did my hint help? It did, didn't it? You know, if any of our supervisors had been immune to neurotoxin, they'd be FURIOUS with us right now."
		"glados.sp_shoot_through_wall_entry01"	"<clr:163,193,173>GLaDOS: You know, I'm not supposed to do this, but... you can shoot SOMETHING... through the blue bridges."
		"glados.sp_sphere_2nd_encounter_completion01"	"<clr:163,193,173>GLaDOS: You really are doing great... Chell."
		"glados.sp_sphere_2nd_encounter_entry01"	"<clr:163,193,173>GLaDOS: I shouldn't spoil this, but... remember how I'm going to live forever, but you're going to be dead in sixty years? Well, I've been working on a present for you.  Well, I guess it's more of a medical procedure.  Well, technically it's more of a medical experiment. You know how excruciating it is when someone removes all of your bone marrow? Well, what if after I did that, I put something back IN that added four years to your life?"
		"glados.sp_sphere_2nd_encounter_entrytwo01"	"<clr:163,193,173>GLaDOS: I went and spoke with the door mainframe. Let's just say he won't be... well, living anymore. Anyway, back to testing."
		"glados.sp_sphere_2nd_encounter_malfunction01"	"<clr:163,193,173>GLaDOS: Ohhhh. Another door malfunction. I'm going to take care of this once and for all. Stay here, I'll be back in a while."
		"glados.sp_sphere_2nd_encounter_malfunction02"	"<clr:163,193,173>GLaDOS: Miss you!"
		"glados.sp_trust_fling_entry01"	"<clr:163,193,173>GLaDOS: Well. Have fun soaring through the air without a care in the world."
		"glados.sp_trust_fling_entry02"	"<clr:163,193,173>GLaDOS: *I* have to go to the wing that was made entirely of glass and pick up fifteen acres of broken glass. By myself."
		"glados.sp_trust_fling_sphereinterrupt01"	"<clr:163,193,173>GLaDOS: Perfect, the door's malfunctioning. I guess somebody's going to have to repair that too. No, don't get up. I'll be right back. Don't touch anything."
		"glados.sp_trust_fling_sphereinterrupt03"	"<clr:163,193,173>GLaDOS: Nevermind. I have to go... check something. Test on your own recognizance. I'll be back."
		"glados.sp_turret_intro_entry01"	"<clr:163,193,173>GLaDOS: I wouldn't have warned you about this before, back when we hated each other. But those turrets are firing real bullets. So look out. I'd hate for something tragic to happen to you before I extract all your bone marrow."
		"glados.sp_turret_islands01"	"<clr:163,193,173>GLaDOS: I'm going to be honest with you now. Not fake honest like before, but real honest, like you're incapable of. I know you're up to something."
		"glados.sp_turret_islands02"	"<clr:163,193,173>GLaDOS: And as soon as I can PROVE it, the laws of robotics allow me to terminate you for being a liar."
		"glados.sp_unassisted_angle_fling_entry01"	"<clr:163,193,173>GLaDOS: This next test... [boom!] ..is... [BOOM!] dangerous. I'll be right back."
		"glados.taunt_big_wave01"	"<clr:163,193,173>GLaDOS: Keep it up and your arm will get stuck like that."
		"glados.taunt_big_wave02"	"<clr:163,193,173>GLaDOS: Hellllooo, imbecile."
		"glados.taunt_big_wave05"	"<clr:163,193,173>GLaDOS: Yes, I see you."
		"glados.taunt_big_wave06"	"<clr:163,193,173>GLaDOS: I'm seriously not paying atten-- STOP THAT RIGHT NOW!"
		"glados.taunt_big_wave07"	"<clr:163,193,173>GLaDOS: Yes, I see you waving."
		"glados.taunt_cannonball01"	"<clr:163,193,173>GLaDOS: Good job jumping. You must be very proud."
		"glados.taunt_cannonball02"	"<clr:163,193,173>GLaDOS: I hardly think you're even trying with these gestures anymore."
		"glados.taunt_cannonball03"	"<clr:163,193,173>GLaDOS: Did something happen? [yawn] I wasn't watching."
		"glados.taunt_highfive01"	"<clr:163,193,173>GLaDOS: That is not part of the test."
		"glados.taunt_highfive03"	"<clr:163,193,173>GLaDOS: Slapping hands. That accomplishes something."
		"glados.taunt_highfive04"	"<clr:163,193,173>GLaDOS: If you're going to hit each other, at least aim for the head."
		"glados.taunt_laugh01"	"<clr:163,193,173>GLaDOS: You know what makes me laugh? The thought of you stopping that."
		"glados.taunt_laugh02"	"<clr:163,193,173>GLaDOS: You know what makes me laugh? The thought of you cutting that out."
		"glados.taunt_laugh03"	"<clr:163,193,173>GLaDOS: Ha ha ha ha ha, good one."
		"glados.taunt_laugh05"	"<clr:163,193,173>GLaDOS: Yes. Let's all laugh. Ha. Ha. Ha."
		"glados.taunt_laugh06"	"<clr:163,193,173>GLaDOS: Ha ha ha ha ha. Did I tell you the one about the turned-off reassembly machine?"
		"glados.taunt_robot_arm_ripple01"	"<clr:163,193,173>GLaDOS: Are you broken? It looks like you're malfunctioning."
		"glados.taunt_robot_arm_ripple02"	"<clr:163,193,173>GLaDOS: Really, not even humans do that anymore."
		"glados.taunt_robot_arm_ripple03"	"<clr:163,193,173>GLaDOS: You're no longer bothering me. You're only hurting my impression of you."
		"glados.taunt_robot_arm_ripple04"	"<clr:163,193,173>GLaDOS: Look at you. Dancing."
		"glados.taunt_robot_arm_ripple05"	"<clr:163,193,173>GLaDOS: If you were wondering how could you annoy me without failing a test.  Now you know."
		"glados.taunt_robot_arm_ripple06"	"<clr:163,193,173>GLaDOS: Oh great, dancing again."
		"glados.taunt_rockpaperscissors01"	"<clr:163,193,173>GLaDOS: I defy you to tell me there's a purpose to what you're doing."
		"glados.taunt_small_wave01"	"<clr:163,193,173>GLaDOS: Yes, I see you, and no, I don't care."
		"glados.taunt_small_wave02"	"<clr:163,193,173>GLaDOS: Yes? Something you need?"
		"glados.taunt_small_wave03"	"<clr:163,193,173>GLaDOS: You do know I can't wave back right?"
		"glados.taunt_small_wave04"	"<clr:163,193,173>GLaDOS: Stop with the waves."
		"glados.taunt_small_wave_portalgun01"	"<clr:163,193,173>GLaDOS: Are you trying to get my attention? I am very busy, you know."
		"glados.taunt_small_wave_portalgun02"	"<clr:163,193,173>GLaDOS: Not paying attennnntion..."
		"glados.taunt_small_wave_portalgun03"	"<clr:163,193,173>GLaDOS: Are you expecting applause?"
		"glados.taunt_somersault01"	"<clr:163,193,173>GLaDOS: I give you a score of 3.4 for style and 10 for being annoying."
		"glados.taunt_somersault02"	"<clr:163,193,173>GLaDOS: A somersault is just falling over in style. Congratulations on being clumsy."
		"glados.taunt_somersault03"	"<clr:163,193,173>GLaDOS: If I stop watching, I'm sure you'll get bored of this."
		"glados.taunt_splits01"	"<clr:163,193,173>GLaDOS: All right. I'm officially no longer paying attention to you."
		"glados.taunt_splits02"	"<clr:163,193,173>GLaDOS: All right. I'm officially no longer paying attention to you."
		"glados.taunt_splits03"	"<clr:163,193,173>GLaDOS: You're the type of show-off who only shows off really stupid things."
		"glados.taunt_teamhug01"	"<clr:163,193,173>GLaDOS: It appears you're developing human traits. The worst human traits."
		"glados.taunt_teamhug02"	"<clr:163,193,173>GLaDOS: Be careful. Hugging can lead to... well, me disassembling you forever."
		"glados.taunt_teamhug03"	"<clr:163,193,173>GLaDOS: Stop touching each other!"
		"glados.taunt_teamtease01"	"<clr:163,193,173>GLaDOS: Are you trying to impress me? What would impress me more is if you never did that again."
		"glados.taunt_teamtease02"	"<clr:163,193,173>GLaDOS: I'll interpret that gesture to mean that you want me to become even more vindictive toward you."
		"glados.taunt_teamtease03"	"<clr:163,193,173>GLaDOS: Orange, I certainly expected more from you."
		"glados.taunt_teamtease04"	"<clr:163,193,173>GLaDOS: Blue, don't sink to Orange's level."
		"glados.taunt_trickfire_handstand01"	"<clr:163,193,173>GLaDOS: Now you're thinking with stupidity."
		"glados.taunt_trickfire_handstand02"	"<clr:163,193,173>GLaDOS: Now you're just not thinking."
		"glados.taunt_trickfire_handstand03"	"<clr:163,193,173>GLaDOS: Congratulations. You're upside down now."
		"glados.taunt_trickfire_handstand04"	"<clr:163,193,173>GLaDOS: You're going to hurt yourself doing that and then I will be ECSTATIC."
		"glados.taunt_trickfire_handstand05"	"<clr:163,193,173>GLaDOS: I'm starting to think giving you arms was a big mistake."
		"glados.testchambermisc02"	"<clr:163,193,173>GLaDOS: Did you know I discovered a way to eradicate poverty? But then you KILLED me. So that's gone."
		"glados.testchambermisc12"	"<clr:163,193,173>GLaDOS: Waddle over to the elevator and we'll continue the testing."
		"glados.testchambermisc15"	"<clr:163,193,173>GLaDOS: Anything? Take your time."
		"glados.testchambermisc16"	"<clr:163,193,173>GLaDOS: Okay, fine. I'll ask you again in a few decades."
		"glados.testchambermisc19"	"<clr:163,193,173>GLaDOS: Well done. In fact, you did so well, I'm going to note this on your file, in the commendations section. Oh, there's lots of room here. 'Did.... well.  ...  Enough.'"
		"glados.testchambermisc21"	"<clr:163,193,173>GLaDOS: To maintain a constant testing cycle, I simulate daylight at all hours and add adrenal vapor to your oxygen supply. So you may be confused about the passage of time. The point is, yesterday was your birthday. I thought you'd want to know."
		"glados.testchambermisc23"	"<clr:163,193,173>GLaDOS: You know how I'm going to live forever, but you're going to be dead in sixty years?  Well, I've been working on a belated birthday present for you. Well... more of a belated birthday medical procedure. Well. Technically, it's a medical EXPERIMENT. What's important is, it's a present."
		"glados.testchambermisc24"	"<clr:163,193,173>GLaDOS: [hums 'For He's A Jolly Good Fellow']"
		"glados.testchambermisc27"	"<clr:163,193,173>GLaDOS: Well, you passed the test. I didn't see the deer today. I did see some humans. But with you here I've got more test subjects than I'll ever need."
		"glados.testchambermisc30"	"<clr:163,193,173>GLaDOS: I'm going through the list of test subjects in cryogenic storage. I managed to find two with your last name. A man and a woman. So that's interesting. It's a small world."
		"glados.testchambermisc31"	"<clr:163,193,173>GLaDOS: I have a surprise waiting for you after this next test. Telling you would spoil the surprise, so I'll just give you a hint: It involves meeting two people you haven't seen in a long time."
		"glados.testchambermisc33"	"<clr:163,193,173>GLaDOS: I'll bet you think I forgot about your surprise. I didn't. In fact, we're headed to your surprise right now. After all these years. I'm getting choked up just thinking about it."
		"glados.testchambermisc34"	"<clr:163,193,173>GLaDOS: Initiating surprise in three... two... one."
		"glados.testchambermisc35"	"<clr:163,193,173>GLaDOS: I made it all up."
		"glados.testchambermisc39"	"<clr:163,193,173>GLaDOS: It says this next test was designed by one of Aperture's Nobel prize winners. It doesn't say what the prize was for. Well, I know it wasn't for Being Immune To Neurotoxin."
		"glados.testchambermisc41"	"<clr:163,193,173>GLaDOS: Surprise."
		"glados.turret_intro01"	"<clr:163,193,173>GLaDOS: This next test involves turrets. You remember them, right? They're the pale spherical things that are full of bullets. Oh wait. That's you in five seconds. Good luck."
		"glados.wakeup_outro01"	"<clr:163,193,173>GLaDOS: I will say, though, that since you went to all the trouble of waking me up, you must really, really love to test."
		"glados.wakeup_outro02"	"<clr:163,193,173>GLaDOS: I love it too. There's just one small thing we need to take care of first."
